name,kind,first_reference,source,english_equivalent,source_form,greek_form,name_meaning,equivalent_source,equivalent_confidence,footnote
Sisara,transliterated_form,Judges 4:2,ot,Sisera,Sisara,σισαρα,that sees a horse or a swallow,manual/standard English equivalent,manual,Standard English equivalent: Sisera. Source form: Sisara. Greek form: σισαρα. Name meaning: that sees a horse or a swallow. Equivalent source: manual/standard English equivalent.
Arisōth,transliterated_form,Judges 4:2,ot,Harosheth,Arisōth,αρισωθ,a forest; agriculture; workmanship; deafness; silence,UKJV same-reference witness,0.62,Standard English equivalent: Harosheth. Source form: Arisōth. Greek form: αρισωθ. Name meaning: a forest; agriculture; workmanship; deafness; silence. Equivalent source: UKJV same-reference witness.
Lapidōth,transliterated_form,Judges 4:4,ot,Lapidoth,Lapidōth,λαφιδωθ,enlightened; lamps,UKJV same-reference name-order alignment,aligned,Standard English equivalent: Lapidoth. Source form: Lapidōth. Greek form: λαφιδωθ. Name meaning: enlightened; lamps. Equivalent source: UKJV same-reference name-order alignment.
Barak,person,Judges 4:6,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Thabor,place,Judges 4:6,ot,Tabor,Thabor,θαβωρ,choice; purity; bruising,UKJV same-reference name-order alignment,aligned,Place-name meaning: Tabor — choice; purity; bruising. Standard English equivalent: Tabor. Source form: Thabor. Greek form: θαβωρ. Equivalent source: UKJV same-reference name-order alignment.
Kishōn,transliterated_form,Judges 4:7,ot,Kishon,Kishōn,κισων,hard; sore,UKJV same-reference name-order alignment,aligned,Standard English equivalent: Kishon. Source form: Kishōn. Greek form: κισων. Name meaning: hard; sore. Equivalent source: UKJV same-reference name-order alignment.
Jael,person,Judges 4:17,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Mageddō,transliterated_form,Judges 5:19,ot,Megiddo,Mageddō,μαγεδδω,his precious fruit; declaring a message,UKJV same-reference witness,0.71,Standard English equivalent: Megiddo. Source form: Mageddō. Greek form: μαγεδδω. Name meaning: his precious fruit; declaring a message. Equivalent source: UKJV same-reference witness.
Marōz,transliterated_form,Judges 5:23,ot,Meroz,Marōz,μαρωζ,"secret, leanness",UKJV same-reference name-order alignment,aligned,"Standard English equivalent: Meroz. Source form: Marōz. Greek form: μαρωζ. Name meaning: secret, leanness. Equivalent source: UKJV same-reference name-order alignment."
Joash,person,Judges 6:11,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Ezri,person,Judges 6:24,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Arōed,transliterated_form,Judges 7:1,ot,Harod,Arōed,αρωεδ,astonishment; fear,UKJV same-reference witness,0.80,Standard English equivalent: Harod. Source form: Arōed. Greek form: αρωεδ. Name meaning: astonishment; fear. Equivalent source: UKJV same-reference witness.
Abōr,transliterated_form,Judges 7:1,ot,Habor,Abōr,αβωρ,a partaker; a companion,UKJV same-reference name-order alignment,aligned,Standard English equivalent: Habor. Source form: Abōr. Greek form: αβωρ. Name meaning: a partaker; a companion. Equivalent source: UKJV same-reference name-order alignment.
Tabath,place,Judges 7:22,ot,Tabbath,Tabath,ταβαθ,good; goodness,UKJV same-reference witness,0.92,Place-name meaning: Tabbath — good; goodness. Standard English equivalent: Tabbath. Source form: Tabath. Greek form: ταβαθ. Equivalent source: UKJV same-reference witness.
Ōrēb,transliterated_form,Judges 7:25,ot,Oreb,Ōrēb,ωρηβ,a raven,UKJV same-reference name-order alignment,aligned,Standard English equivalent: Oreb. Source form: Ōrēb. Greek form: ωρηβ. Name meaning: a raven. Equivalent source: UKJV same-reference name-order alignment.
Zēb,transliterated_form,Judges 7:25,ot,Zeeb,Zēb,ζηβ,wolf,UKJV same-reference name-order alignment,aligned,Standard English equivalent: Zeeb. Source form: Zēb. Greek form: ζηβ. Name meaning: wolf. Equivalent source: UKJV same-reference name-order alignment.
Jakephzēb,transliterated_form,Judges 7:25,ot,Jakephzeb,Jakephzēb,ιακεφζηβ,meaning uncertain/not securely attested in the consulted name dictionaries,normalized source form,fallback,Standard English equivalent: Jakephzeb. Source form: Jakephzēb. Greek form: ιακεφζηβ. Name meaning: meaning uncertain/not securely attested in the consulted name dictionaries. Equivalent source: normalized source form.
Succoth,place,Judges 8:5,ot,Succoth,Succoth,σοκχωθ,tents; tabernacles,UKJV same-reference name-order alignment,aligned,Place-name meaning: Succoth — tents; tabernacles. Source form: Succoth. Greek form: σοκχωθ. Equivalent source: UKJV same-reference name-order alignment.
Zebah,person,Judges 8:5,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Phanouēl,transliterated_form,Judges 8:8,ot,Penuel,Phanouēl,φανουηλ,same as Peniel,UKJV same-reference name-order alignment,aligned,Standard English equivalent: Penuel. Source form: Phanouēl. Greek form: φανουηλ. Name meaning: same as Peniel. Equivalent source: UKJV same-reference name-order alignment.
Karkar,place,Judges 8:10,ot,Karkor,Karkar,καρκαρ,they rested,UKJV same-reference name-order alignment,aligned,Place-name meaning: Karkor — they rested. Standard English equivalent: Karkor. Source form: Karkar. Greek form: καρκαρ. Equivalent source: UKJV same-reference name-order alignment.
Jōatham,transliterated_form,Judges 9:5,ot,Jotham,Jōatham,ιωαθαμ,the perfection of the Lord,UKJV same-reference name-order alignment,aligned,Standard English equivalent: Jotham. Source form: Jōatham. Greek form: ιωαθαμ. Name meaning: the perfection of the Lord. Equivalent source: UKJV same-reference name-order alignment.
Maallōn,transliterated_form,Judges 9:6,ot,Millo,Maallōn,μααλλων,fullness,UKJV same-reference name-order alignment,aligned,Standard English equivalent: Millo. Source form: Maallōn. Greek form: μααλλων. Name meaning: fullness. Equivalent source: UKJV same-reference name-order alignment.
Gaal,person,Judges 9:26,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
